,ID,Name,global_id,IsNetObject,OperatingCompany,TypeService,TypeObject,AdmArea,District,Address,PublicPhone,WorkingHours
36,35337,Московский дом книги,637641115,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,район Аэропорт,"город Москва, Ленинградский проспект, дом 78, корпус 1",(499) 152-48-61,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
37,137746,Пресса,637641122,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,район Аэропорт,"город Москва, Ленинградский проспект, дом 78, корпус 1",(926) 800-37-75,"Часы работы: 07:00-21:00
День недели: понедельник

Часы работы: 07:00-21:00
День недели: вторник

Часы работы: 07:00-21:00
День недели: среда

Часы работы: 07:00-21:00
День недели: четверг

Часы работы: 07:00-21:00
День недели: пятница

Часы работы: 07:00-21:00
День недели: суббота

Часы работы: 07:00-21:00
День недели: воскресенье"
38,35285,ДОМ КНИГИ НА КОСМОДЕМЬЯНСКИХ,637641133,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Войковский район,"город Москва, Ленинградское шоссе, дом 8, корпус 2",(499) 150-69-17,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
39,149182,Печатная продукция,637641223,нет,,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,район Замоскворечье,"город Москва, Павелецкая площадь, дом 1",(495) 981-66-04,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
40,36401,ДОМ КНИГИ,637641330,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Юго-Западный административный округ,Гагаринский район,"город Москва, Ленинский проспект, дом 40",(499) 135-84-69,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: 10:00-19:00
День недели: воскресенье"
41,36205,ГУП ОЦ МДК №14 «Дом книги на Ленинском»,637643002,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Юго-Западный административный округ,Ломоносовский район,"город Москва, Ленинский проспект, дом 86",(499) 131-22-55,"Часы работы: 19:00-15:00
День недели: понедельник

Часы работы: 19:00-15:00
День недели: вторник

Часы работы: 19:00-15:00
День недели: среда

Часы работы: 19:00-15:00
День недели: четверг

Часы работы: 19:00-15:00
День недели: пятница

Часы работы: 19:00-15:00
День недели: суббота

Часы работы: 19:00-00:00
День недели: воскресенье"
42,102870,Мой магазин,637644870,да,Мой магазин,реализация непродовольственных товаров,Магазин «Книги»,Западный административный округ,район Тропарёво-Никулино,"город Москва, Ленинский проспект, дом 148",(495) 638-53-38,"Часы работы: 09:00-20:00
День недели: понедельник

Часы работы: 09:00-20:00
День недели: вторник

Часы работы: 09:00-20:00
День недели: среда

Часы работы: 09:00-20:00
День недели: четверг

Часы работы: 09:00-20:00
День недели: пятница

Часы работы: 09:00-20:00
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
43,38180,ПТЗГ,637645855,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Тимирязевский район,"город Москва, Лиственничная аллея, дом 2А",(495) 977-72-72,"Часы работы: 09:00-17:30
День недели: понедельник

Часы работы: 09:00-17:30
День недели: вторник

Часы работы: 09:00-17:30
День недели: среда

Часы работы: 09:00-17:30
День недели: четверг

Часы работы: 09:00-17:30
День недели: пятница

Часы работы: выходной
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
44,36901,Магазин «Новый Книжный»,637646128,да,Новый книжный,реализация непродовольственных товаров,Магазин «Книги»,Южный административный округ,Даниловский район,"улица Мастеркова, дом 3",(495) 275-43-58,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
45,40802,Магазин «Азбука Вкуса»,637646267,да,Азбука Вкуса,реализация продовольственных товаров,Супермаркет,Западный административный округ,район Филёвский Парк,"город Москва, Минская улица, дом 14, корпус 1",нет телефона,"Часы работы: круглосуточно
День недели: понедельник

Часы работы: круглосуточно
День недели: вторник

Часы работы: круглосуточно
День недели: среда

Часы работы: круглосуточно
День недели: четверг

Часы работы: круглосуточно
День недели: пятница

Часы работы: круглосуточно
День недели: суббота

Часы работы: круглосуточно
День недели: воскресенье"
46,37932,Магазин «НОВЫЙ КНИЖНЫЙ»,637646449,да,Новый книжный,реализация непродовольственных товаров,Магазин «Книги»,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 182",(495) 683-33-19,"Часы работы: 09:00-20:00
День недели: понедельник

Часы работы: 09:00-20:00
День недели: вторник

Часы работы: 09:00-20:00
День недели: среда

Часы работы: 09:00-20:00
День недели: четверг

Часы работы: 09:00-20:00
День недели: пятница

Часы работы: 09:00-20:00
День недели: суббота

Часы работы: 09:00-20:00
День недели: воскресенье"
47,40817,КНИЖНЫЙ МАГАЗИН,637646532,нет,,реализация непродовольственных товаров,Магазин «Книги»,Западный административный округ,район Раменки,"город Москва, Мичуринский проспект, дом 12, корпус 1",(495) 932-74-79,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: 10:00-19:00
День недели: воскресенье"
48,140315,Дом книги,637646605,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Восточный административный округ,район Вешняки,"город Москва, улица Молдагуловой, дом 3, корпус 1",нет телефона,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
49,40806,Магазин «Книги»,637647021,нет,,реализация непродовольственных товаров,Магазин «Книги»,Западный административный округ,район Филёвский Парк,"город Москва, Новозаводская улица, дом 25, корпус 6",(499) 148-35-12,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: 10:00-19:00
День недели: воскресенье"
